store_id,Company,local_authority,region,local_authority_population,latitude,longitude,geometry,other
0,Brand A,Rushcliffe,East Midlands,121416,52.8943154,-1.1335202,POINT (-1.1335202 52.8943154),type1
529,Brand A,Dartford,South East,114051,51.45175389999999,0.2840312,POINT (0.2840312 51.45175389999999),type1
530,Brand A,Inverclyde,Scotland,77060,55.9586111,-4.7491667,POINT (-4.7491667 55.9586111),type1
531,Brand A,Inverclyde,Scotland,77060,55.9457597,-4.6853606,POINT (-4.6853606 55.9457597),type1
533,Brand A,North East Lincolnshire,Yorkshire and The Humber,159364,53.576102500000005,-0.0773043999999999,POINT (-0.0773043999999999 53.5761025),type1
534,Brand A,North East Lincolnshire,Yorkshire and The Humber,159364,53.5491432,-0.0360283,POINT (-0.0360283 53.5491432),type1
537,Brand A,Guildford,South East,150352,51.245282200000005,-0.5653547000000001,POINT (-0.5653547000000001 51.24528220000001),type1
539,Brand A,Guildford,South East,150352,51.24564810000001,-0.5633228,POINT (-0.5633228 51.24564810000001),type1
540,Brand A,Calderdale,Yorkshire and The Humber,211439,53.7334181,-1.8479156,POINT (-1.8479156 53.7334181),type1
543,Brand A,Stoke-on-Trent,West Midlands,256622,53.0373183,-2.1657243000000004,POINT (-2.1657243 53.0373183),type1
544,Brand A,Stoke-on-Trent,West Midlands,256622,53.0333456,-2.1709151,POINT (-2.1709151 53.0333456),type1
545,Brand A,Stoke-on-Trent,West Midlands,256622,52.99979629999999,-2.1294292,POINT (-2.1294292 52.99979629999999),type1
549,Brand A,Harlow,East of England,87280,51.7792643,0.1039910999999999,POINT (0.1039911 51.7792643),type1
551,Brand A,Harrogate,Yorkshire and The Humber,161545,54.0027492,-1.5312954,POINT (-1.5312954 54.0027492),type1
554,Brand A,Hastings,South East,92554,50.8665763,0.5898825,POINT (0.5898825 50.8665763),type1
555,Brand A,Hastings,South East,92554,50.887173,0.5462567,POINT (0.5462567 50.887173),type1
527,Brand A,Dartford,South East,114051,51.44894820000001,0.2811103,POINT (0.2811103 51.44894820000001),type1
558,Brand A,Pembrokeshire,Wales,126751,51.8134656,-4.9597831,POINT (-4.9597831 51.8134656),type1
525,Brand A,Gosport,South East,84679,50.8050959,-1.11067,POINT (-1.11067 50.8050959),type1
522,Brand A,Worthing,South East,110727,50.8203907,-0.3615493,POINT (-0.3615493 50.8203907),type1
484,Brand A,Sefton,North West,275899,53.6415915,-2.9616675000000003,POINT (-2.9616675 53.6415915),type1
490,Brand A,West Lindsey,East Midlands,96186,53.40925299999999,-0.7620675,POINT (-0.7620675 53.40925299999999),type1
492,Brand A,Gateshead,North East,201950,54.96704809999999,-1.6589671,POINT (-1.6589671 54.96704809999999),type1
495,Brand A,Renfrewshire,Scotland,179390,55.8864674,-4.3544926,POINT (-4.3544926 55.8864674),type1
498,Brand A,Glasgow City,Scotland,635640,55.8738319,-4.2424325,POINT (-4.2424325 55.8738319),type1
500,Brand A,Glasgow City,Scotland,635640,55.8804561,-4.128044,POINT (-4.128044 55.8804561),type1
501,Brand A,Glasgow City,Scotland,635640,55.8340877,-4.3345469,POINT (-4.3345469 55.8340877),type1
502,Brand A,Glasgow City,Scotland,635640,55.86330399999999,-4.1535506,POINT (-4.1535506 55.86330399999999),type1
503,Brand A,Glasgow City,Scotland,635640,55.8831906,-4.2199978,POINT (-4.2199978 55.8831906),type1
504,Brand A,Glasgow City,Scotland,635640,55.832758,-4.3301897,POINT (-4.3301897 55.832758),type1
511,Brand A,South Lanarkshire,Scotland,320820,55.769878,-4.1652795000000005,POINT (-4.1652795 55.769878),type1
512,Brand A,South Lanarkshire,Scotland,320820,55.8446056,-4.2007255,POINT (-4.2007255 55.8446056),type1
518,Brand A,Gloucester,South West,129709,51.8743059,-2.2355050000000003,POINT (-2.235505 51.8743059),type1
519,Brand A,Gloucester,South West,129709,51.8437226,-2.2653153,POINT (-2.2653153 51.8437226),type1
521,Brand A,Worthing,South East,110727,50.8235306,-0.3930173,POINT (-0.3930173 50.8235306),type1
523,Brand A,Worthing,South East,110727,50.8421164,-0.4151517,POINT (-0.4151517 50.84211639999999),type1
559,Brand A,Pembrokeshire,Wales,126751,51.7028977,-4.932618299999999,POINT (-4.932618299999999 51.7028977),type1
560,Brand A,Pembrokeshire,Wales,126751,51.8077926,-4.9673941,POINT (-4.9673941 51.8077926),type1
563,Brand A,"Herefordshire, County of",West Midlands,193615,52.0662805,-2.7072010000000004,POINT (-2.707201 52.0662805),type1
606,Brand A,Highland,Scotland,235430,57.49342259999999,-4.165464499999999,POINT (-4.165464499999999 57.49342259999999),type1
607,Brand A,Highland,Scotland,235430,57.4803123,-4.179276300000001,POINT (-4.179276300000001 57.4803123),type1
612,Brand A,Ipswich,East of England,135979,52.067741,1.1641567,POINT (1.1641567 52.067741),type1
614,Brand A,South Lakeland,North West,104905,54.33921169999999,-2.7358729000000004,POINT (-2.7358729 54.33921169999999),type1
615,Brand A,South Lakeland,North West,104905,54.2058643,-3.08672,POINT (-3.08672 54.20586429999999),type1
618,Brand A,Warwick,West Midlands,144909,52.3515828,-1.5682483,POINT (-1.5682483 52.3515828),type1
619,Brand A,Warwick,West Midlands,144909,52.3010518,-1.5248961,POINT (-1.5248961 52.3010518),type1
620,Brand A,Warwick,West Midlands,144909,52.2913893,-1.5799991,POINT (-1.5799991 52.2913893),type1
623,Brand A,Wyre Forest,West Midlands,101139,52.3980736,-2.2383979000000003,POINT (-2.2383979 52.3980736),type1
627,Brand A,King's Lynn and West Norfolk,East of England,151245,52.76411279999999,0.4056005,POINT (0.4056005 52.76411279999999),type1
628,Brand A,King's Lynn and West Norfolk,East of England,151245,52.7485093,0.4200382,POINT (0.4200382 52.74850929999999),type1
632,Brand A,South Hams,South West,87946,50.2956151,-3.7681215,POINT (-3.7681215 50.2956151),type1
633,Brand A,South Hams,South West,87946,50.395955,-3.9551471,POINT (-3.9551471 50.395955),type1
635,Brand A,Solihull,West Midlands,217487,52.3986817,-1.724881,POINT (-1.724881 52.3986817),type1
636,Brand A,Solihull,West Midlands,217487,52.4230556,-1.7697222,POINT (-1.7697222 52.4230556),type1
605,Brand A,Highland,Scotland,235430,57.48857430000001,-4.212348000000001,POINT (-4.212348000000001 57.48857430000001),type1
601,Brand A,Huntingdonshire,East of England,178985,52.2202612,-0.2598409,POINT (-0.2598409 52.2202612),type1
